Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     
0                        0.028539903163909912     100                      4.783750957236043        1000.0                   10                       0.0                      0.0                      0                        9.836856842041016        
10                       0.05957227673795488      1100                     168.72642559009074       1000.0                   10                       48.758033752441406       1000.0                   1                        -2.911017894744873       
20                       0.0906528878874249       2100                     80.5927146961822         1000.0                   10                       182.1070556640625        1000.0                   1                        -3.6203842163085938      
30                       0.12185140947500865      3100                     233.03885875822726       1000.0                   10                       121.09697723388672       1000.0                   1                        -3.708862781524658       
40                       0.1531666538450453       4100                     465.48301094229953       1000.0                   10                       516.7965087890625        1000.0                   1                        -3.783510446548462       
50                       0.18464600861072542      5100                     469.1097173826529        1000.0                   10                       616.8699340820312        1000.0                   1                        -3.871548652648926       
60                       0.21621817304028404      6100                     610.3235388725996        1000.0                   10                       619.9283447265625        1000.0                   1                        -3.9260506629943848      
70                       0.24813198069731393      7100                     556.1459145339562        1000.0                   10                       612.297607421875         1000.0                   1                        -3.955606460571289       
80                       0.28269436021645866      8100                     619.9451937503181        1000.0                   10                       620.1016235351562        1000.0                   1                        -3.975607395172119       
90                       0.3159767813815011       9100                     597.9780233527403        1000.0                   10                       506.47979736328125       1000.0                   1                        -3.974639415740967       
100                      0.3493712439139684       10100                    612.4103354490828        1000.0                   10                       604.7308349609375        1000.0                   1                        -3.988567352294922       
110                      0.3817157971858978       11100                    467.05684018643404       1000.0                   10                       77.5120620727539         1000.0                   1                        -4.000600814819336       
120                      0.41414576868216196      12100                    565.586364993395         1000.0                   10                       618.3906860351562        1000.0                   1                        -4.009546756744385       
130                      0.446902563240793        13100                    623.1315436421894        1000.0                   10                       636.8256225585938        1000.0                   1                        -4.017378807067871       
140                      0.479380784895685        14100                    625.0752043754794        1000.0                   10                       615.6416015625           1000.0                   1                        -4.022408485412598       
150                      0.5120931998888651       15100                    582.711204692366         1000.0                   10                       612.6254272460938        1000.0                   1                        -4.026873588562012       
160                      0.5450716493527095       16100                    524.5236485649515        1000.0                   10                       621.4447631835938        1000.0                   1                        -4.0318169593811035      
170                      0.581136892106798        17100                    625.5386291486211        1000.0                   10                       622.9151000976562        1000.0                   1                        -4.0358052253723145      
180                      0.6190830008188883       18100                    627.023399987258         1000.0                   10                       625.7232666015625        1000.0                   1                        -4.039342880249023       
190                      0.656976361936993        19100                    609.8876472477801        1000.0                   10                       587.3351440429688        1000.0                   1                        -4.040624141693115       
199                      0.6894241051541434       20000                    615.4635183841922        1000.0                   10                       0.0                      0.0                      0                        -4.043432235717773       
