Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     
0                        0.02863682256804572      100                      12.001723617273687       400.0                    10                       0.0                      0.0                      0                        28.599573135375977       
10                       0.0635424957672755       1100                     29.392649664512426       400.0                    10                       18.5773983001709         400.0                    2                        -6.053988933563232       
20                       0.09852495524618361      2100                     18.411323574197063       400.0                    10                       39.64987564086914        400.0                    2                        -7.53135871887207        
30                       0.13375771972868178      3100                     22.77288299522757        400.0                    10                       15.86733627319336        400.0                    2                        -7.196306228637695       
40                       0.16905946565998925      4100                     31.315785605594403       400.0                    10                       17.50809097290039        400.0                    2                        -7.000397205352783       
50                       0.20442639456854927      5100                     39.55988334739989        400.0                    10                       32.005611419677734       400.0                    2                        -7.295466899871826       
60                       0.2396832260158327       6100                     70.08516886488037        400.0                    10                       43.26648712158203        400.0                    2                        -6.932384014129639       
70                       0.2754023543993632       7100                     195.50490837705755       400.0                    10                       134.65811157226562       400.0                    2                        -6.186404228210449       
80                       0.31109060247739156      8100                     204.43901995842796       400.0                    10                       245.4536895751953        400.0                    2                        -6.071491718292236       
90                       0.34734785305129157      9100                     263.52405101883926       400.0                    10                       263.6036376953125        400.0                    2                        -6.180020809173584       
100                      0.38324586974249947      10100                    274.057621535845         400.0                    10                       279.6298828125           400.0                    2                        -6.288884162902832       
110                      0.41936067601044974      11100                    254.9532549694744        400.0                    10                       252.8783721923828        400.0                    2                        -6.342177391052246       
120                      0.45558429261048633      12100                    239.13444246836698       400.0                    10                       272.34185791015625       400.0                    2                        -6.444907188415527       
130                      0.49181107117070094      13100                    256.3032666454229        400.0                    10                       283.7436218261719        400.0                    2                        -6.503854751586914       
140                      0.5286081794235441       14100                    250.5234232427597        400.0                    10                       254.61105346679688       400.0                    2                        -6.552713871002197       
150                      0.5647002821498447       15100                    277.42483109510994       400.0                    10                       150.9340362548828        400.0                    2                        -6.613495349884033       
160                      0.6011510970857409       16100                    255.30490256770932       400.0                    10                       272.75677490234375       400.0                    2                        -6.645549774169922       
170                      0.6377544493807686       17100                    252.42800623663953       400.0                    10                       279.6427917480469        400.0                    2                        -6.6534743309021         
180                      0.6750238597393036       18100                    173.94702078328694       400.0                    10                       132.04415893554688       400.0                    2                        -6.698009490966797       
190                      0.7116923539506065       19100                    244.74814203378804       400.0                    10                       271.05908203125          400.0                    2                        -6.706749439239502       
199                      0.7477188033527798       20000                    235.14603037422725       400.0                    10                       159.9384765625           400.0                    2                        -6.7124247550964355      
